Log data created at: Sunday, March 12, 2017 20:48:58
Score: 	 Turn: 	 	 Genes: 
60 	 	 356 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
59 	 	 78 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
59 	 	 95 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
59 	 	 95 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
59 	 	 184 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
57 	 	 259 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
56 	 	 65 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
56 	 	 68 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
56 	 	 102 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
55 	 	 75 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
55 	 	 75 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
55 	 	 72 	 	 GoWhereFoodIs, GoStraight, 
55 	 	 173 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
55 	 	 75 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
54 	 	 276 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
54 	 	 82 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
54 	 	 78 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
53 	 	 179 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoStraight, 
53 	 	 378 	 	 RunAwayFromGhost2, 
52 	 	 63 	 	 RunAwayFromGhost1, GoSameDirection, 
51 	 	 166 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
51 	 	 56 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
50 	 	 470 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
50 	 	 98 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
50 	 	 86 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
50 	 	 470 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
49 	 	 66 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
49 	 	 321 	 	 RunAwayFromGhost2, 
48 	 	 353 	 	 RunAwayFromGhost2, 
48 	 	 61 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
48 	 	 61 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
47 	 	 318 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
47 	 	 270 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
47 	 	 62 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
47 	 	 298 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
47 	 	 270 	 	 GoSameDirection, GoStraight, 
47 	 	 270 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 237 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 274 	 	 RunAwayFromGhost2, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 182 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 212 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
46 	 	 183 	 	 RunAwayFromGhost1, GoStraight, 
46 	 	 153 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
46 	 	 196 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
45 	 	 303 	 	 RunAwayFromGhost2, GoStraight, 
45 	 	 216 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
45 	 	 216 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
44 	 	 221 	 	 GoStraight, 
44 	 	 366 	 	 RunAwayFromGhost2, 
43 	 	 158 	 	 RunAwayFromGhost1, 
43 	 	 137 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
43 	 	 69 	 	 GoWhereFoodIs, 
43 	 	 43 	 	 GoWhereFoodIs, GoSameDirection, 
41 	 	 101 	 	 RunAwayFromGhost2, GoStraight, 
41 	 	 167 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
41 	 	 214 	 	 GoStraight, 
41 	 	 107 	 	 RunAwayFromGhost2, GoStraight, 
40 	 	 140 	 	 GoSameDirection, GoStraight, 
40 	 	 140 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
40 	 	 140 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
